Amostra,m(ac)/g,V1/mL,V2/mL,V3/mL,CA/mol/L
1,0.0515,1.90,2.05,1.95,0.0117
2,0.2052,4.30,4.15,4.15,0.0250
3,0.2492,5.05,4.90,4.90,0.0296
4,0.3592,5.30,5.40,5.40,0.0321
5,0.3592,5.35,5.65,5.47,0.0325
